Specified Values,Specified Attribute Names,Class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
"1.0, 0.0, 1.0, 1.0, 1.0","A_0, A_2, A_3, R_13, R_15",1.0,0.0753403159601336,0.7721518987341772,1,42.158081658635886,9886,5269,0.25,0.0002999042391719282,122,158,False
"0.0, 1.0, 1.0, 1.0, 0.0","A_0, A_2, R_2, R_7, R_12",1.0,0.1528710136618956,0.8287671232876712,1,40.396599759775626,9985,5271,0.25,0.0002873734059862442,121,146,False
"0.0, 1.0, 0.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, R_4, R_5, R_7",0.0,1.0,1.0,4,63.12532868571576,9992,5274,0.3,0.0017962443192041625,89,89,False
"1.0, 1.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_11, R_15",0.0,1.0,1.0,3,47.03823205979954,9948,5286,0.3,0.001003861986329046,74,74,False
"1.0, 1.0, 1.0, 0.0, 0.0, 0.0","A_0, A_2, A_3, R_9, R_11, R_15",0.0,1.0,1.0,3,46.60962881303935,9948,5308,0.3,0.0009947149906236637,79,79,False
"1.0, 0.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_11, R_14",0.0,1.0,1.0,3,43.46871827409693,9915,5320,0.3,0.0009276835450434785,82,82,False
"1.0, 0.0, 1.0, 0.0, 0.0","A_0, A_2, A_3, R_11, R_13",0.0,0.11314048312020826,0.8041958041958042,1,35.8639595982358,9969,5345,0.25,0.0002551291020330004,115,143,False
"1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_8, R_11, R_13",0.0,1.0,1.0,1,37.85692555179317,9969,5351,0.35,0.0002693066669145548,45,45,False
"0.0, 0.0, 1.0, 1.0, 1.0, 1.0","A_0, A_2, A_3, R_0, R_1, R_6",1.0,0.23234333100485846,0.8641975308641975,1,44.586286696020956,9990,5375,0.3,0.00031717800865193105,70,81,False
"0.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_4",0.0,0.07015616050000682,0.7666666666666667,1,39.92154064681169,9992,5393,0.2,0.0002839939295909762,230,300,False
"1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_6, R_8, R_9",0.0,1.0,1.0,1,54.942068489773206,9862,5402,0.35,0.00039084698830412965,31,31,False
"1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, R_9, R_13, R_15",1.0,0.11480208518443649,0.8053691275167785,1,60.32150019604977,9977,5409,0.25,0.0004291151995124008,120,149,False
"1.0, 0.0, 0.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_7, R_8",1.0,1.0,1.0,2,38.07707237050406,9991,5413,0.3,0.0005417454955202518,72,72,False
"0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_4, R_5",0.0,1.0,1.0,4,53.45328816249257,9992,5446,0.25,0.0015210244002481855,164,164,False
